Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Phenobarb50mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
PhenobarbAmpule,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
PhenytoinNa100t,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
PhenytoinNa50a,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
AmitryptilineHCl25t,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Diazepam5mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Diazepam5mga,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Trihexyphenidyl2mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Mirtazapine15mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Mirtazapine30mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Quetiapine100mgt,Coded,CIEL:160240 | CIEL:160242 | CIEL:160243,radio,No,no,PIH:12651,CIEL:160240|CIEL:160242|CIEL:160243,,PIH:Prescription construct
Comment,Coded,N/A,radio,No,no,PIH:Medication comments (text),,,
Pih task mental Health FU label,Coded,pihcore.pregnancy.status,checkbox,No,no,CIEL:5272,CIEL:1065,,
Last Period,Coded,N/A,radio,No,no,CIEL:1427,,,
Due Date,Date,N/A,date,No,no,CIEL:5596,,,
Mentalhealth has CHW,Coded,Yes | No,radio,Yes,no,PIH:3293,PIH:YES|PIH:NO,,
Return Visit Date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
