Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
PIH:14921,Coded,PIH:14953 | CIEL:142454 | CIEL:122714 | CIEL:138291 | PIH:14954 | PIH:14955,checkbox,No,no,PIH:14921,PIH:14953|CIEL:142454|CIEL:122714|CIEL:138291|PIH:14954|PIH:14955,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:6694,Coded,CIEL:78064 | CIEL:78065 | CIEL:78082 | CIEL:79652 | CIEL:77071,checkbox,No,no,PIH:6694,CIEL:78064|CIEL:78065|CIEL:78082|CIEL:79652|CIEL:77071,PIH:6694,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,CIEL:161644 | CIEL:121856 | CIEL:111103 | CIEL:116608 | CIEL:116116,checkbox,No,no,PIH:14921,CIEL:161644|CIEL:121856|CIEL:111103|CIEL:116608|CIEL:116116,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:6770,Coded,CIEL:71138 | CIEL:77696 | CIEL:72248 | CIEL:71652 | CIEL:162298 | CIEL:76734 | CIEL:71617,checkbox,No,no,PIH:6770,CIEL:71138|CIEL:77696|CIEL:72248|CIEL:71652|CIEL:162298|CIEL:76734|CIEL:71617,PIH:6770,PIH:HOSPITALIZATION CONSTRUCT
Echo performed,Coded,Echo performed,checkbox,No,no,CIEL:1651,CIEL:159567,,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,CIEL:149751,checkbox,No,no,PIH:14921,CIEL:149751,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:3429,Coded,CIEL:72248 | CIEL:71652 | CIEL:162298 | PIH:14965 | PIH:14966 | CIEL:76734 | CIEL:77696 | CIEL:151331 | CIEL:75687 | CIEL:86417 | CIEL:83902,checkbox,No,no,PIH:3429,CIEL:72248|CIEL:71652|CIEL:162298|PIH:14965|PIH:14966|CIEL:76734|CIEL:77696|CIEL:151331|CIEL:75687|CIEL:86417|CIEL:83902,PIH:3429,PIH:HOSPITALIZATION CONSTRUCT
Screening tool during hospitalization,Coded,+ | - | Not Done,radio,No,no,PIH:14602,CIEL:703|CIEL:664|CIEL:1118,,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,CIEL:166093 | CIEL:4 | CIEL:113311,checkbox,No,no,PIH:14921,CIEL:166093|CIEL:4|CIEL:113311,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:6745,Coded,CIEL:78200 | CIEL:798 | CIEL:82446 | CIEL:1195,checkbox,No,no,PIH:6745,CIEL:78200|CIEL:798|CIEL:82446|CIEL:1195,PIH:6745,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,PIH:14958 | CIEL:121849 | CIEL:154967 | CIEL:123549 | CIEL:162044,checkbox,No,no,PIH:14921,PIH:14958|CIEL:121849|CIEL:154967|CIEL:123549|CIEL:162044,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:14967,Coded,CIEL:76342 | CIEL:82446 | CIEL:72660 | CIEL:76734 | CIEL:84239 | CIEL:71138 | CIEL:77696 | CIEL:162298,checkbox,No,no,PIH:14967,CIEL:76342|CIEL:82446|CIEL:72660|CIEL:76734|CIEL:84239|CIEL:71138|CIEL:77696|CIEL:162298,PIH:14967,PIH:HOSPITALIZATION CONSTRUCT
Creatinine at discharge,Coded,N/A,radio,No,no,CIEL:790,,,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,CIEL:113808 | CIEL:138834 | PIH:14956 | CIEL:117598 | CIEL:148346 | CIEL:136443 | CIEL:139582,checkbox,No,no,PIH:14921,CIEL:113808|CIEL:138834|PIH:14956|CIEL:117598|CIEL:148346|CIEL:136443|CIEL:139582,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:14963,Coded,CIEL:84795 | CIEL:76734 | CIEL:84239 | CIEL:82734 | CIEL:78632,checkbox,No,no,PIH:14963,CIEL:84795|CIEL:76734|CIEL:84239|CIEL:82734|CIEL:78632,PIH:14963,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,CIEL:121629 | CIEL:117643 | CIEL:147059 | CIEL:149871 | CIEL:111103 | CIEL:112483 | CIEL:116128,checkbox,No,no,PIH:14921,CIEL:121629|CIEL:117643|CIEL:147059|CIEL:149871|CIEL:111103|CIEL:112483|CIEL:116128,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:14963,Coded,CIEL:77795 | CIEL:76613 | CIEL:151331 | CIEL:159610 | CIEL:70116 | CIEL:77897 | CIEL:85276 | CIEL:80106,checkbox,No,no,PIH:14963,CIEL:77795|CIEL:76613|CIEL:151331|CIEL:159610|CIEL:70116|CIEL:77897|CIEL:85276|CIEL:80106,PIH:14963,PIH:HOSPITALIZATION CONSTRUCT
PIH:14921,Coded,PIH:14959 | CIEL:122983 | CIEL:996 | CIEL:131781,checkbox,No,no,PIH:14921,PIH:14959|CIEL:122983|CIEL:996|CIEL:131781,PIH:14921,PIH:HOSPITALIZATION CONSTRUCT
PIH:14774,Coded,CIEL:80106 | CIEL:85276 | CIEL:78632 | CIEL:79757,checkbox,No,no,PIH:14774,CIEL:80106|CIEL:85276|CIEL:78632|CIEL:79757,PIH:14774,PIH:HOSPITALIZATION CONSTRUCT
Other diagnoses at discharge,Coded,N/A,radio,No,no,PIH:14922,,,PIH:HOSPITALIZATION CONSTRUCT
Other diagnoses at discharge,Coded,N/A,radio,No,no,PIH:14715,,,PIH:HOSPITALIZATION CONSTRUCT
Outcome of hospitalization,Coded,PIH:7384 | PIH:11521,radio,No,no,PIH:15159,PIH:7384|PIH:11521,,PIH:HOSPITALIZATION CONSTRUCT
